pool_address,name,tvl_usd,token_pair,fee_tier,priority
0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,USDC_WETH_0.05%,96607714.21,USDC/WETH,0.05%,1
0xcbcdf9626bc03e24f779434178a73a0b4bad62ed,WBTC_WETH_0.05%,82235363.32,WBTC/WETH,0.05%,2
0x99ac8ca7087fa4a2a1fb6357269965a2014abc35,WBTC_USDC_0.05%,74676284.70,WBTC/USDC,0.05%,3
0x5777d92f208679db4b9778590fa3cab3ac9e2168,DAI_USDC_0.05%,57144995.13,DAI/USDC,0.05%,4
0x4e68ccd3e89f51c3074ca5072bbac773960dfa36,WETH_USDT_0.05%,56123958.04,WETH/USDT,0.05%,5
0x8ad599c3a0ff1de082011efddc58f1908eb6e6d8,USDC_WETH_0.30%,43361524.33,USDC/WETH,0.30%,6
0x9db9e0e53058c89e5b94e29621a205198648425b,WBTC_USDT_0.05%,42092870.20,WBTC/USDT,0.05%,7
0x3416cf6c708da44db2624d63ea0aaef7113527c6,USDC_USDT_0.05%,34129059.51,USDC/USDT,0.05%,8
0x1d42064fc4beb5f8aaf85f4617ae8b3b5b8bd801,UNI_WETH_0.05%,31393690.12,UNI/WETH,0.05%,9
0x4585fe77225b41b697c938b018e2ac67ac5a20c0,WBTC_WETH_0.30%,30520536.39,WBTC/WETH,0.30%,10 